Fecha Desde; Código Variedad; Descripción Variedad; Origen; Descripción Origen; Kilos; Precio Más Frecuente; Precio Máximo; Precio Mínimo
13/04/2020; F1 1616; MANDARINA NADORCOTT           ; 046; VALENCIA            ; 000015470; 0,8; 1; 0,6
13/04/2020; F1 1617; MANDARINA ORRI                ; 003; ALICANTE            ; 000005023; 2; 2,5; 1,1
13/04/2020; F1 1617; MANDARINA ORRI                ; 030; MURCIA              ; 000005880; 2; 2,5; 1,1
13/04/2020; F1 1617; MANDARINA ORRI                ; 046; VALENCIA            ; 000018564; 2; 2,5; 1,1
13/04/2020; F1 1701; MANZANAS GOLDEN               ; 022; HUESCA              ; 000002250; 1,3; 1,75; 0,5
13/04/2020; F1 1701; MANZANAS GOLDEN               ; 025; LERIDA              ; 000013825; 1,3; 1,75; 0,5
13/04/2020; F1 1701; MANZANAS GOLDEN               ; 026; LA RIOJA            ; 000001150; 1,3; 1,75; 0,5
13/04/2020; F1 1701; MANZANAS GOLDEN               ; 031; NAVARRA             ; 000001680; 1,3; 1,75; 0,5
13/04/2020; F1 1701; MANZANAS GOLDEN               ; 042; SORIA               ; 000002570; 1,3; 1,75; 0,5
13/04/2020; F1 1701; MANZANAS GOLDEN               ; 050; ZARAGOZA            ; 000014290; 1,3; 1,75; 0,5
13/04/2020; F1 1701; MANZANAS GOLDEN               ; 054; POLONIA             ; 000005525; 1,3; 1,75; 0,5
13/04/2020; F1 1701; MANZANAS GOLDEN               ; 060; FRANCIA             ; 000019080; 1,3; 1,75; 0,5
13/04/2020; F1 1701; MANZANAS GOLDEN               ; 062; ITALIA              ; 000023935; 1,3; 1,75; 0,5
13/04/2020; F1 1702; MANZANAS STARKING             ; 022; HUESCA              ; 000000360; 1,4; 1,45; 0,55
13/04/2020; F1 1702; MANZANAS STARKING             ; 025; LERIDA              ; 000002212; 1,4; 1,45; 0,55
13/04/2020; F1 1702; MANZANAS STARKING             ; 026; LA RIOJA            ; 000000184; 1,4; 1,45; 0,55
13/04/2020; F1 1702; MANZANAS STARKING             ; 031; NAVARRA             ; 000000269; 1,4; 1,45; 0,55
13/04/2020; F1 1702; MANZANAS STARKING             ; 042; SORIA               ; 000000411; 1,4; 1,45; 0,55
13/04/2020; F1 1702; MANZANAS STARKING             ; 050; ZARAGOZA            ; 000002286; 1,4; 1,45; 0,55
13/04/2020; F1 1702; MANZANAS STARKING             ; 054; POLONIA             ; 000000884; 1,4; 1,45; 0,55
13/04/2020; F1 1702; MANZANAS STARKING             ; 060; FRANCIA             ; 000003053; 1,4; 1,45; 0,55
13/04/2020; F1 1702; MANZANAS STARKING             ; 062; ITALIA              ; 000003830; 1,4; 1,45; 0,55
13/04/2020; F1 1703; MANZANAS REINETA              ; 022; HUESCA              ; 000001530; 1,5; 2,5; 0,8
13/04/2020; F1 1703; MANZANAS REINETA              ; 025; LERIDA              ; 000009401; 1,5; 2,5; 0,8
13/04/2020; F1 1703; MANZANAS REINETA              ; 026; LA RIOJA            ; 000000782; 1,5; 2,5; 0,8
13/04/2020; F1 1703; MANZANAS REINETA              ; 031; NAVARRA             ; 000001142; 1,5; 2,5; 0,8
13/04/2020; F1 1703; MANZANAS REINETA              ; 042; SORIA               ; 000001748; 1,5; 2,5; 0,8
13/04/2020; F1 1703; MANZANAS REINETA              ; 050; ZARAGOZA            ; 000009717; 1,5; 2,5; 0,8
13/04/2020; F1 1703; MANZANAS REINETA              ; 054; POLONIA             ; 000003757; 1,5; 2,5; 0,8
13/04/2020; F1 1703; MANZANAS REINETA              ; 060; FRANCIA             ; 000012974; 1,5; 2,5; 0,8
13/04/2020; F1 1703; MANZANAS REINETA              ; 062; ITALIA              ; 000016276; 1,5; 2,5; 0,8
13/04/2020; F1 1705; MANZANAS VERDE DONCELLA       ; 022; HUESCA              ; 000000630; 1,8; 2; 1
13/04/2020; F1 1705; MANZANAS VERDE DONCELLA       ; 025; LERIDA              ; 000003871; 1,8; 2; 1
13/04/2020; F1 1705; MANZANAS VERDE DONCELLA       ; 026; LA RIOJA            ; 000000322; 1,8; 2; 1
13/04/2020; F1 1705; MANZANAS VERDE DONCELLA       ; 031; NAVARRA             ; 000000470; 1,8; 2; 1
13/04/2020; F1 1705; MANZANAS VERDE DONCELLA       ; 042; SORIA               ; 000000720; 1,8; 2; 1
13/04/2020; F1 1705; MANZANAS VERDE DONCELLA       ; 050; ZARAGOZA            ; 000004001; 1,8; 2; 1
13/04/2020; F1 1705; MANZANAS VERDE DONCELLA       ; 054; POLONIA             ; 000001547; 1,8; 2; 1
13/04/2020; F1 1705; MANZANAS VERDE DONCELLA       ; 060; FRANCIA             ; 000005342; 1,8; 2; 1
13/04/2020; F1 1705; MANZANAS VERDE DONCELLA       ; 062; ITALIA              ; 000006702; 1,8; 2; 1
13/04/2020; F1 1707; MANZANA GRANNY SMITH          ; 022; HUESCA              ; 000000990; 1,4; 1,4; 0,55
13/04/2020; F1 1707; MANZANA GRANNY SMITH          ; 025; LERIDA              ; 000006083; 1,4; 1,4; 0,55
13/04/2020; F1 1707; MANZANA GRANNY SMITH          ; 026; LA RIOJA            ; 000000506; 1,4; 1,4; 0,55
13/04/2020; F1 1707; MANZANA GRANNY SMITH          ; 031; NAVARRA             ; 000000739; 1,4; 1,4; 0,55
13/04/2020; F1 1707; MANZANA GRANNY SMITH          ; 042; SORIA               ; 000001131; 1,4; 1,4; 0,55
13/04/2020; F1 1707; MANZANA GRANNY SMITH          ; 050; ZARAGOZA            ; 000006288; 1,4; 1,4; 0,55
13/04/2020; F1 1707; MANZANA GRANNY SMITH          ; 054; POLONIA             ; 000002431; 1,4; 1,4; 0,55
13/04/2020; F1 1707; MANZANA GRANNY SMITH          ; 060; FRANCIA             ; 000008395; 1,4; 1,4; 0,55
13/04/2020; F1 1707; MANZANA GRANNY SMITH          ; 062; ITALIA              ; 000010531; 1,4; 1,4; 0,55
13/04/2020; F1 1713; MANZANA ROYAL GALA            ; 022; HUESCA              ; 000001710; 1,35; 1,5; 0,45
13/04/2020; F1 1713; MANZANA ROYAL GALA            ; 025; LERIDA              ; 000010507; 1,35; 1,5; 0,45
13/04/2020; F1 1713; MANZANA ROYAL GALA            ; 026; LA RIOJA            ; 000000874; 1,35; 1,5; 0,45
13/04/2020; F1 1713; MANZANA ROYAL GALA            ; 031; NAVARRA             ; 000001277; 1,35; 1,5; 0,45
13/04/2020; F1 1713; MANZANA ROYAL GALA            ; 042; SORIA               ; 000001953; 1,35; 1,5; 0,45
13/04/2020; F1 1713; MANZANA ROYAL GALA            ; 050; ZARAGOZA            ; 000010860; 1,35; 1,5; 0,45
13/04/2020; F1 1713; MANZANA ROYAL GALA            ; 054; POLONIA             ; 000004199; 1,35; 1,5; 0,45
13/04/2020; F1 1713; MANZANA ROYAL GALA            ; 060; FRANCIA             ; 000014501; 1,35; 1,5; 0,45
13/04/2020; F1 1713; MANZANA ROYAL GALA            ; 062; ITALIA              ; 000018191; 1,35; 1,5; 0,45
13/04/2020; F1 1714; MANZANA FUJI                  ; 022; HUESCA              ; 000001260; 1,35; 1,55; 0,5
13/04/2020; F1 1714; MANZANA FUJI                  ; 025; LERIDA              ; 000007742; 1,35; 1,55; 0,5
13/04/2020; F1 1714; MANZANA FUJI                  ; 026; LA RIOJA            ; 000000644; 1,35; 1,55; 0,5
13/04/2020; F1 1714; MANZANA FUJI                  ; 031; NAVARRA             ; 000000941; 1,35; 1,55; 0,5
13/04/2020; F1 1714; MANZANA FUJI                  ; 042; SORIA               ; 000001439; 1,35; 1,55; 0,5
13/04/2020; F1 1714; MANZANA FUJI                  ; 050; ZARAGOZA            ; 000008002; 1,35; 1,55; 0,5
13/04/2020; F1 1714; MANZANA FUJI                  ; 054; POLONIA             ; 000003094; 1,35; 1,55; 0,5
13/04/2020; F1 1714; MANZANA FUJI                  ; 060; FRANCIA             ; 000010685; 1,35; 1,55; 0,5
13/04/2020; F1 1714; MANZANA FUJI                  ; 062; ITALIA              ; 000013404; 1,35; 1,55; 0,5
13/04/2020; F1 1719; MANZANA PINK LADY             ; 022; HUESCA              ; 000000270; 2,8; 3; 2,4
13/04/2020; F1 1719; MANZANA PINK LADY             ; 025; LERIDA              ; 000001659; 2,8; 3; 2,4
13/04/2020; F1 1719; MANZANA PINK LADY             ; 026; LA RIOJA            ; 000000138; 2,8; 3; 2,4
13/04/2020; F1 1719; MANZANA PINK LADY             ; 031; NAVARRA             ; 000000202; 2,8; 3; 2,4
13/04/2020; F1 1719; MANZANA PINK LADY             ; 042; SORIA               ; 000000308; 2,8; 3; 2,4
13/04/2020; F1 1719; MANZANA PINK LADY             ; 050; ZARAGOZA            ; 000001715; 2,8; 3; 2,4
13/04/2020; F1 1719; MANZANA PINK LADY             ; 054; POLONIA             ; 000000663; 2,8; 3; 2,4
13/04/2020; F1 1719; MANZANA PINK LADY             ; 060; FRANCIA             ; 000002290; 2,8; 3; 2,4
13/04/2020; F1 1719; MANZANA PINK LADY             ; 062; ITALIA              ; 000002872; 2,8; 3; 2,4
13/04/2020; F1 1901; MELONES PIEL DE SAPO          ; 072; BRASIL              ; 000039325; 1,6; 2,2; 1,3
13/04/2020; F1 1905; MELONES CANTALOUP             ; 072; BRASIL              ; 000005212; 1,1; 1,2; 0,7
13/04/2020; F1 1909; MELONES GALIA                 ; 072; BRASIL              ; 000002843; 1,3; 1,35; 0,9
13/04/2020; F1 2110; NARANJA SALUSTIANA            ; 003; ALICANTE            ; 000002063; 0,4; 0,6; 0,3
13/04/2020; F1 2110; NARANJA SALUSTIANA            ; 004; ALMERIA             ; 000000180; 0,4; 0,6; 0,3
13/04/2020; F1 2110; NARANJA SALUSTIANA            ; 012; CASTELLON           ; 000003656; 0,4; 0,6; 0,3
13/04/2020; F1 2110; NARANJA SALUSTIANA            ; 021; HUELVA              ; 000004018; 0,4; 0,6; 0,3
13/04/2020; F1 2110; NARANJA SALUSTIANA            ; 029; MALAGA              ; 000000720; 0,4; 0,6; 0,3
13/04/2020; F1 2110; NARANJA SALUSTIANA            ; 030; MURCIA              ; 000004304; 0,4; 0,6; 0,3
13/04/2020; F1 2110; NARANJA SALUSTIANA            ; 041; SEVILLA             ; 000003782; 0,4; 0,6; 0,3
13/04/2020; F1 2110; NARANJA SALUSTIANA            ; 046; VALENCIA            ; 000040889; 0,4; 0,6; 0,3
13/04/2020; F1 2112; NARANJA SANGUINA              ; 003; ALICANTE            ; 000005730; 1; 1,2; 0,45
13/04/2020; F1 2112; NARANJA SANGUINA              ; 004; ALMERIA             ; 000000500; 1; 1,2; 0,45
13/04/2020; F1 2112; NARANJA SANGUINA              ; 012; CASTELLON           ; 000010155; 1; 1,2; 0,45
13/04/2020; F1 2112; NARANJA SANGUINA              ; 021; HUELVA              ; 000011160; 1; 1,2; 0,45
13/04/2020; F1 2112; NARANJA SANGUINA              ; 029; MALAGA              ; 000002000; 1; 1,2; 0,45
13/04/2020; F1 2112; NARANJA SANGUINA              ; 030; MURCIA              ; 000011955; 1; 1,2; 0,45
13/04/2020; F1 2112; NARANJA SANGUINA              ; 041; SEVILLA             ; 000010505; 1; 1,2; 0,45
13/04/2020; F1 2112; NARANJA SANGUINA              ; 046; VALENCIA            ; 000113582; 1; 1,2; 0,45
13/04/2020; F1 2113; NARANJA NAVEL LATE            ; 003; ALICANTE            ; 000006647; 0,6; 1; 0,5
13/04/2020; F1 2113; NARANJA NAVEL LATE            ; 004; ALMERIA             ; 000000580; 0,6; 1; 0,5
13/04/2020; F1 2113; NARANJA NAVEL LATE            ; 012; CASTELLON           ; 000011780; 0,6; 1; 0,5
13/04/2020; F1 2113; NARANJA NAVEL LATE            ; 021; HUELVA              ; 000012946; 0,6; 1; 0,5
13/04/2020; F1 2113; NARANJA NAVEL LATE            ; 029; MALAGA              ; 000002320; 0,6; 1; 0,5
13/04/2020; F1 2113; NARANJA NAVEL LATE            ; 030; MURCIA              ; 000013868; 0,6; 1; 0,5
13/04/2020; F1 2113; NARANJA NAVEL LATE            ; 041; SEVILLA             ; 000012186; 0,6; 1; 0,5
13/04/2020; F1 2113; NARANJA NAVEL LATE            ; 046; VALENCIA            ; 000131755; 0,6; 1; 0,5
13/04/2020; F1 2114; NARANJA LANE LATE             ; 003; ALICANTE            ; 000007334; 0,8; 1,4; 0,5
13/04/2020; F1 2114; NARANJA LANE LATE             ; 004; ALMERIA             ; 000000640; 0,8; 1,4; 0,5
13/04/2020; F1 2114; NARANJA LANE LATE             ; 012; CASTELLON           ; 000012998; 0,8; 1,4; 0,5
13/04/2020; F1 2114; NARANJA LANE LATE             ; 021; HUELVA              ; 000014285; 0,8; 1,4; 0,5
13/04/2020; F1 2114; NARANJA LANE LATE             ; 029; MALAGA              ; 000002560; 0,8; 1,4; 0,5
13/04/2020; F1 2114; NARANJA LANE LATE             ; 030; MURCIA              ; 000015302; 0,8; 1,4; 0,5
13/04/2020; F1 2114; NARANJA LANE LATE             ; 041; SEVILLA             ; 000013446; 0,8; 1,4; 0,5
13/04/2020; F1 2114; NARANJA LANE LATE             ; 046; VALENCIA            ; 000145384; 0,8; 1,4; 0,5
13/04/2020; F1 2115; NARANJA NAVEL POWEL           ; 003; ALICANTE            ; 000001146; 1,2; 1,4; 1
13/04/2020; F1 2115; NARANJA NAVEL POWEL           ; 004; ALMERIA             ; 000000100; 1,2; 1,4; 1
13/04/2020; F1 2115; NARANJA NAVEL POWEL           ; 012; CASTELLON           ; 000002031; 1,2; 1,4; 1
13/04/2020; F1 2115; NARANJA NAVEL POWEL           ; 021; HUELVA              ; 000002232; 1,2; 1,4; 1
13/04/2020; F1 2115; NARANJA NAVEL POWEL           ; 029; MALAGA              ; 000000400; 1,2; 1,4; 1
13/04/2020; F1 2115; NARANJA NAVEL POWEL           ; 030; MURCIA              ; 000002391; 1,2; 1,4; 1
13/04/2020; F1 2115; NARANJA NAVEL POWEL           ; 041; SEVILLA             ; 000002101; 1,2; 1,4; 1
13/04/2020; F1 2115; NARANJA NAVEL POWEL           ; 046; VALENCIA            ; 000022716; 1,2; 1,4; 1
13/04/2020; F1 2602; PERAS ERCOLINI                ; 022; HUESCA              ; 000000181; 2; 2,4; 1,8
13/04/2020; F1 2602; PERAS ERCOLINI                ; 024; LEON                ; 000000290; 2; 2,4; 1,8
13/04/2020; F1 2602; PERAS ERCOLINI                ; 025; LERIDA              ; 000001117; 2; 2,4; 1,8
13/04/2020; F1 2602; PERAS ERCOLINI                ; 026; LA RIOJA            ; 000000153; 2; 2,4; 1,8
13/04/2020; F1 2602; PERAS ERCOLINI                ; 031; NAVARRA             ; 000000195; 2; 2,4; 1,8
13/04/2020; F1 2602; PERAS ERCOLINI                ; 050; ZARAGOZA            ; 000001711; 2; 2,4; 1,8
13/04/2020; F1 2602; PERAS ERCOLINI                ; 064; BELGICA             ; 000000730; 2; 2,4; 1,8
13/04/2020; F1 2602; PERAS ERCOLINI                ; 069; PORTUGAL            ; 000000138; 2; 2,4; 1,8
13/04/2020; F1 2603; PERAS BLANQUILLAS             ; 022; HUESCA              ; 000002782; 1,5; 2; 0,6
13/04/2020; F1 2603; PERAS BLANQUILLAS             ; 024; LEON                ; 000004453; 1,5; 2; 0,6
13/04/2020; F1 2603; PERAS BLANQUILLAS             ; 025; LERIDA              ; 000017130; 1,5; 2; 0,6
13/04/2020; F1 2603; PERAS BLANQUILLAS             ; 026; LA RIOJA            ; 000002346; 1,5; 2; 0,6
13/04/2020; F1 2603; PERAS BLANQUILLAS             ; 031; NAVARRA             ; 000002990; 1,5; 2; 0,6
13/04/2020; F1 2603; PERAS BLANQUILLAS             ; 050; ZARAGOZA            ; 000026238; 1,5; 2; 0,6
13/04/2020; F1 2603; PERAS BLANQUILLAS             ; 064; BELGICA             ; 000011187; 1,5; 2; 0,6
13/04/2020; F1 2603; PERAS BLANQUILLAS             ; 069; PORTUGAL            ; 000002116; 1,5; 2; 0,6
13/04/2020; F1 2610; PERAS DOYAN DE COMICE         ; 022; HUESCA              ; 000000605; 1,5; 1,6; 1
13/04/2020; F1 2610; PERAS DOYAN DE COMICE         ; 024; LEON                ; 000000968; 1,5; 1,6; 1
13/04/2020; F1 2610; PERAS DOYAN DE COMICE         ; 025; LERIDA              ; 000003724; 1,5; 1,6; 1
13/04/2020; F1 2610; PERAS DOYAN DE COMICE         ; 026; LA RIOJA            ; 000000510; 1,5; 1,6; 1
13/04/2020; F1 2610; PERAS DOYAN DE COMICE         ; 031; NAVARRA             ; 000000650; 1,5; 1,6; 1
13/04/2020; F1 2610; PERAS DOYAN DE COMICE         ; 050; ZARAGOZA            ; 000005704; 1,5; 1,6; 1
13/04/2020; F1 2610; PERAS DOYAN DE COMICE         ; 064; BELGICA             ; 000002432; 1,5; 1,6; 1
13/04/2020; F1 2610; PERAS DOYAN DE COMICE         ; 069; PORTUGAL            ; 000000460; 1,5; 1,6; 1
13/04/2020; F1 2616; PERAS CONFERENCE              ; 022; HUESCA              ; 000002480; 1,3; 1,7; 0,8
13/04/2020; F1 2616; PERAS CONFERENCE              ; 024; LEON                ; 000003969; 1,3; 1,7; 0,8
13/04/2020; F1 2616; PERAS CONFERENCE              ; 025; LERIDA              ; 000015268; 1,3; 1,7; 0,8
13/04/2020; F1 2616; PERAS CONFERENCE              ; 026; LA RIOJA            ; 000002091; 1,3; 1,7; 0,8
13/04/2020; F1 2616; PERAS CONFERENCE              ; 031; NAVARRA             ; 000002665; 1,3; 1,7; 0,8
13/04/2020; F1 2616; PERAS CONFERENCE              ; 050; ZARAGOZA            ; 000023386; 1,3; 1,7; 0,8
13/04/2020; F1 2616; PERAS CONFERENCE              ; 064; BELGICA             ; 000009971; 1,3; 1,7; 0,8
13/04/2020; F1 2616; PERAS CONFERENCE              ; 069; PORTUGAL            ; 000001886; 1,3; 1,7; 0,8
13/04/2020; F1 2903; PIÑA GOLDEN SWEET             ; 058; REPUBLICA DOMINICANA; 000002460; 1,6; 3,8; 0,7
13/04/2020; F1 2903; PIÑA GOLDEN SWEET             ; 073; COLOMBIA            ; 000003000; 1,6; 3,8; 0,7
13/04/2020; F1 2903; PIÑA GOLDEN SWEET             ; 074; COSTA RICA          ; 000073530; 1,6; 3,8; 0,7
13/04/2020; F1 3001; PLATANOS EXTRA                ; 035; LAS PALMAS          ; 000075113; 1,1; 1,4; 0,8
13/04/2020; F1 3001; PLATANOS EXTRA                ; 038; STA.CRUZ DE TENERIFE; 000129105; 1,1; 1,4; 0,8
13/04/2020; F1 3004; PLATANO IMPORT. O BANANA      ; 035; LAS PALMAS          ; 000064383; 0,85; 0,9; 0,65
13/04/2020; F1 3004; PLATANO IMPORT. O BANANA      ; 038; STA.CRUZ DE TENERIFE; 000110662; 0,85; 0,9; 0,65
13/04/2020; F1 3007; PLATANO MACHO                 ; 035; LAS PALMAS          ; 000013796; 1; 1,1; 0,8
13/04/2020; F1 3007; PLATANO MACHO                 ; 038; STA.CRUZ DE TENERIFE; 000023713; 1; 1,1; 0,8
13/04/2020; F1 3203; SANDIA SIN SEMILLA            ; 118; SENEGAL             ; 000003000; 1; 1,2; 0,8
13/04/2020; F1 3901; PAPAYA O.V.                   ; 072; BRASIL              ; 000019800; 2,89; 3,25; 2,56
13/04/2020; F1 4201; MANGOS                        ; 018; GRANADA             ; 000007900; 3; 5,78; 1
13/04/2020; F1 4201; MANGOS                        ; 029; MALAGA              ; 000005800; 3; 5,78; 1
13/04/2020; F1 4201; MANGOS                        ; 072; BRASIL              ; 000031500; 3; 5,78; 1
13/04/2020; F1 4201; MANGOS                        ; 077; PERU                ; 000007100; 3; 5,78; 1
13/04/2020; F1 4308; KIWI KIWIGOLD                 ; 015; LA CORUÑA           ; 000000150; 8; 10; 8
13/04/2020; F1 4308; KIWI KIWIGOLD                 ; 033; ASTURIAS            ; 000000330; 8; 10; 8
13/04/2020; F1 4308; KIWI KIWIGOLD                 ; 036; PONTEVEDRA          ; 000002552; 8; 10; 8
13/04/2020; F1 4308; KIWI KIWIGOLD                 ; 048; VIZCAYA             ; 000000800; 8; 10; 8
13/04/2020; F1 4308; KIWI KIWIGOLD                 ; 062; ITALIA              ; 000004722; 8; 10; 8
13/04/2020; F1 4308; KIWI KIWIGOLD                 ; 068; GRECIA              ; 000003020; 8; 10; 8
